Date,Close,High,Low,Open,Volume,Daily Return,7-Day MA,52-Week High,52-Week Low
2024-05-02,3623.044189453125,3630.3591588386275,3543.095825813969,3543.095825813969,2491044,0.02256455020399827,3608.353934151786,3990.1494293194514,2875.02599070183
2024-05-03,3604.38134765625,3651.4596252829774,3561.4298032069573,3648.2239953859785,2962234,-0.012017531759337589,3604.1605398995534,3990.1494293194514,2894.66099006403
2024-05-06,3677.20263671875,3694.927167103904,3613.384573734727,3613.384573734727,2053831,0.017661575091649298,3616.2181222098216,3990.1494293194514,2915.9517239413262
2024-05-07,3731.501953125,3739.9891860111734,3670.1222867238534,3686.3464581217104,2062112,0.012249389881356274,3633.1992536272323,3990.1494293194514,2915.9517239413262
2024-05-08,3729.626220703125,3736.5192209369857,3693.66131770256,3714.6681858171114,1247685,0.004026748591738159,3654.04541015625,3990.1494293194514,2918.2504800713327
2024-05-09,3713.91796875,3724.0463703208047,3666.886852709913,3715.6060738380834,1726486,-0.0004543283261294773,3666.1029924665177,3990.1494293194514,2918.2504800713327
2024-05-10,3651.740966796875,3726.484662213695,3643.441479536376,3716.1687445881325,1672489,-0.017337150764502797,3675.9164690290177,3990.1494293194514,2918.2504800713327
2024-05-13,3702.289306640625,3709.0414982162547,3629.327584853832,3642.925840662716,931326,0.016295546100688604,3687.2372000558034,3990.1494293194514,2922.711095151928
2024-05-14,3658.58740234375,3700.4138550943817,3650.8035270075748,3691.2232635754413,1058317,-0.008841475820153743,3694.9809221540177,3990.1494293194514,2924.0644972966825
2024-05-15,3639.08056640625,3682.7357004952323,3634.485385536964,3661.6818959693137,1115021,-0.006172390230823346,3689.534912109375,3990.1494293194514,2924.0644972966825
2024-05-16,3684.94189453125,3693.018499850829,3630.6731306245456,3675.6374588606977,2599399,0.002531380141456136,3682.883475167411,3990.1494293194514,2924.0644972966825
2024-05-17,3621.7939453125,3702.937300542508,3617.9208829280115,3701.992673680125,2765804,-0.021663664798099096,3667.4788643973216,3990.1494293194514,2924.0644972966825
2024-05-21,3608.66357421875,3631.8542103330115,3599.0757035999536,3618.487832180219,1908117,-0.002715017547965491,3652.4425223214284,3990.1494293194514,2924.0644972966825
2024-05-22,3619.81005859375,3628.54785688237,3606.16024685102,3622.6439391197887,1311168,-0.0007822685788786753,3647.8809640066966,3990.1494293194514,2924.0644972966825
2024-05-23,3677.857666015625,3688.7681531563644,3613.6703123942825,3628.264752304816,2095742,0.01366849364542811,3644.3907296316966,3990.1494293194514,2924.0644972966825
2024-05-24,3636.341064453125,3668.7418115804035,3631.429050950218,3663.4990864307915,1309452,-0.00741313736865854,3641.2126813616073,3990.1494293194514,2924.0644972966825
2024-05-27,3634.02685546875,3691.9325288692844,3628.64252842061,3641.5365929797185,1841538,-0.002062244143158157,3640.49072265625,3990.1494293194514,2924.0644972966825
2024-05-28,3627.272705078125,3655.706066734782,3617.9209911096164,3644.370544047232,1801993,-0.004691575338582152,3632.252267020089,3990.1494293194514,2924.0644972966825
2024-05-29,3593.030029296875,3635.774396680819,3589.582233347775,3635.774396680819,1568095,-0.011756606081765191,3628.143136160714,3990.1494293194514,2924.0644972966825
2024-05-30,3529.220703125,3584.2922676744465,3509.714018991741,3567.8558516313005,2919230,-0.01082867417096902,3616.7941545758927,3990.1494293194514,2924.0644972966825
2024-05-31,3467.677978515625,3542.1618998121,3451.430442400017,3532.904510318457,10956800,-0.018462579900568158,3595.0610002790177,3990.1494293194514,2924.0644972966825
2024-06-03,3497.811767578125,3543.815050940118,3491.3409811408733,3526.1032967744277,2156773,-0.008023454452449797,3569.340157645089,3990.1494293194514,2924.0644972966825
2024-06-04,3509.288818359375,3537.627624429572,3392.6274000370645,3495.1194153242764,3395997,0.004054054054054118,3551.1898367745534,3990.1494293194514,2924.0644972966825
2024-06-05,3538.997314453125,3574.2792205302862,3495.1194421750433,3510.2334721952598,2799670,0.008194281800827527,3537.614188058036,3990.1494293194514,2924.0644972966825
2024-06-06,3618.298583984375,3627.2725390345563,3534.3213495003415,3571.634109972148,4328036,0.013065300805011866,3536.3321707589284,3990.1494293194514,2924.0644972966825
2024-06-07,3678.329833984375,3698.2142761529285,3624.8168128885063,3624.8168128885063,4552445,0.014762958753004067,3548.5178571428573,3990.1494293194514,2924.0644972966825
2024-06-10,3645.03173828125,3689.6180814133613,3629.161960387638,3679.3217405498876,1734661,-0.009319653100930737,3565.0622907366073,3990.1494293194514,2924.0644972966825
2024-06-11,3638.797119140625,3665.1048380918546,3628.311669035547,3632.0901763711736,1419898,0.0018465793644342641,3589.507882254464,3990.1494293194514,2924.0644972966825
2024-06-12,3619.4794921875,3677.9047569591216,3615.5121054162055,3659.8622913039767,2177001,-0.011033966827776095,3606.888985770089,3990.1494293194514,2924.0644972966825
2024-06-13,3663.404541015625,3674.598461482482,3638.7026410361236,3643.236896058969,1932323,0.005535639194495514,3628.905517578125,3990.1494293194514,2924.0644972966825
2024-06-14,3619.857666015625,3673.654123447534,3616.031880832389,3673.654123447534,1860730,-0.014643854762631752,3640.4569963727677,3990.1494293194514,2924.0644972966825
2024-06-18,3603.846435546875,3629.2568087209993,3584.906618726297,3614.1900547154564,1774045,-0.002861946663564646,3638.392403738839,3990.1494293194514,2924.0644972966825
2024-06-19,3591.18798828125,3621.557881055292,3582.9225030243783,3615.7010098615556,1509050,-0.0067796041524031255,3625.9435686383927,3990.1494293194514,2924.0644972966825
2024-06-20,3577.5380859375,3598.981069597492,3570.736818650082,3585.8035709865335,2846526,-0.00230505795574281,3616.3016183035716,3990.1494293194514,2924.0644972966825
2024-06-21,3599.737060546875,3663.0743420998706,3587.7403447033967,3615.08724810415,4642195,-0.004246145806114418,3610.721609933036,3990.1494293194514,2924.0644972966825
2024-06-24,3605.451904296875,3643.4258585651314,3581.363918973201,3597.8476118252383,1702154,0.0021135671357072543,3608.7176688058034,3990.1494293194514,2924.0644972966825
2024-06-25,3625.90283203125,3634.593352796922,3582.875033532891,3605.6406325261373,1338808,0.005619583749508846,3603.360281808036,3990.1494293194514,2924.0644972966825
2024-06-26,3642.339599609375,3652.8248194664434,3628.3117983770853,3631.6179924136177,1639845,0.002952294877422282,3606.5719866071427,3990.1494293194514,2924.0644972966825
2024-06-27,3716.3037109375,3723.7191241208575,3606.679947095457,3618.865541478185,4526556,0.026925059343187042,3622.6373116629466,3990.1494293194514,2924.0644972966825
2024-06-28,3687.96484375,3740.722345851188,3682.013879060851,3700.8591386940006,2731571,-0.0034841355644113837,3636.462576729911,3990.1494293194514,2939.81467394158
2024-07-01,3757.914306640625,3780.1130365410763,3668.9305078023185,3668.9305078023185,2658723,0.024253334493273788,3662.2306082589284,3990.1494293194514,2939.81467394158
2024-07-02,3794.944091796875,3800.61185331036,3762.023982045802,3772.462155624164,2307449,0.005959486204306589,3690.1173270089284,3990.1494293194514,2939.81467394158
2024-07-03,3745.681884765625,3803.162524946505,3735.9994588608656,3797.4002085008037,1821198,-0.013619402985074592,3710.1501813616073,3990.1494293194514,2939.81467394158
2024-07-04,3798.297607421875,3823.2358967427767,3761.598989570618,3778.3661175753045,2518001,0.005275161068658195,3734.778006417411,3990.1494293194514,2939.81467394158
2024-07-05,3789.654052734375,3803.7761780539627,3767.171887521997,3787.953678275629,1668616,0.00044888998207602364,3755.822928292411,3990.1494293194514,2939.81467394158
2024-07-08,3772.08447265625,3808.027575962725,3757.7734659218268,3799.2897762535395,1758882,-0.007160628748912243,3763.7916085379466,3990.1494293194514,2948.431716890738
2024-07-09,3764.81005859375,3785.0722570451912,3754.9860322602553,3764.3377452003747,1305801,0.00012547051442913897,3774.7694963727677,3990.1494293194514,2958.7161665780745
2024-07-10,3692.688232421875,3781.624995321451,3685.9342421919528,3763.1102154389605,2669716,-0.01871377105250979,3765.451485770089,3990.1494293194514,2977.894198116161
2024-07-11,3706.4326171875,3759.615159156207,3679.8887389846327,3713.3284398600626,4872189,-0.0018570462549287762,3752.8069893973216,3990.1494293194514,3011.2489999836316
2024-07-12,3952.2724609375,3967.3864934720764,3751.3973839095465,3759.615592975855,13509164,0.0512437676664573,3782.3199288504466,3990.1494293194514,3011.2489999836316
2024-07-15,3938.338623046875,4005.2180225102193,3926.8610373129627,4001.156311371623,4848030,-0.015699883592704127,3802.3257882254466,4005.2180225102193,3011.2489999836316
2024-07-16,3947.076416015625,3962.2845399612966,3915.383907085896,3940.983388073058,2029521,0.0015460679080776811,3824.814697265625,4005.2180225102193,3011.2489999836316
2024-07-18,4076.5849609375,4085.511870794273,3929.648412139694,3929.648412139694,5613364,0.037391779972956715,3868.314767020089,4085.511870794273,3011.2489999836316
2024-07-19,4073.6015625,4126.95500501344,4057.363678860647,4087.8038739597537,3903354,-0.0034743133226683522,3912.4278390066966,4126.95500501344,3011.2489999836316
2024-07-22,4059.352783203125,4090.219237805453,4038.191243077126,4071.282819315056,1896386,-0.002930289208927492,3964.8084891183034,4126.95500501344,3011.2489999836316
2024-07-23,4073.55517578125,4129.749091200278,4039.4220034038367,4055.2340980748054,2365208,0.004517884113063268,4017.254568917411,4129.749091200278,3011.2489999836316
2024-07-24,4077.247314453125,4108.350472060897,4041.1261912304362,4059.494423388743,1809793,0.004373177842565499,4035.1081194196427,4129.749091200278,3032.2345994922275
2024-07-25,4092.633056640625,4112.042883745572,4046.901795265646,4066.5954836949645,2810342,0.006402793946449375,4057.1501813616073,4129.749091200278,3083.6085408942245
2024-07-26,4154.5078125,4187.2679052166895,4106.4090376287495,4118.670552129421,3552210,0.00870117187500002,4086.7832380022323,4187.2679052166895,3083.6085408942245
2024-07-29,4148.1171875,4195.363458517048,4138.5542038316435,4180.214323934273,1746803,-0.007678347076727016,4097.00212751116,4195.363458517048,3083.6085408942245
2024-07-30,4133.205078125,4164.11869081323,4097.178262267316,4157.585718481626,1797906,-0.005864134141178902,4105.51691545759,4195.363458517048,3083.6085408942245
2024-07-31,4152.140625,4179.266948047126,4113.936313834336,4118.670417762799,2330091,0.008126459231321935,4118.772321428572,4195.363458517048,3083.6085408942245
2024-08-01,4163.26611328125,4184.285259071731,4132.920227203137,4165.443616342355,2202244,-0.0005227541797858371,4131.588169642857,4195.363458517048,3083.6085408942245
2024-08-02,4055.281005859375,4164.118251496919,4042.9251782382544,4132.873162297419,2811282,-0.01877438609679266,4128.450125558035,4195.363458517048,3083.6085408942245
2024-08-05,3934.088134765625,4013.573937057952,3891.907447104674,4013.573937057952,2787771,-0.01980424517869783,4105.800851004465,4195.363458517048,3083.6085408942245
2024-08-06,3949.37939453125,4031.7999662691227,3939.532087639672,3949.14268931395,2203067,5.9938380535202823e-05,4076.4967912946427,4195.363458517048,3083.6085408942245
2024-08-07,3977.073486328125,4019.207010572527,3957.994677970089,4003.158213602941,1237666,-0.0065160370594843755,4052.0619768415177,4195.363458517048,3083.6085408942245
2024-08-08,3950.65673828125,4006.9454168344964,3938.7743227862725,3958.657558550338,2441283,-0.0020210943105717274,4025.983642578125,4195.363458517048,3083.6085408942245
2024-08-09,4003.86865234375,4027.4443989451242,3981.902223791584,3992.7435074037467,1302536,0.0027863410007114096,4004.801932198661,4195.363458517048,3083.6085408942245
2024-08-12,3972.5283203125,4013.5730915961017,3963.7230724118513,4005.0517049897408,936912,-0.008120590462470463,3977.5536760602677,4195.363458517048,3083.6085408942245
2024-08-13,3973.760009765625,4008.839537848005,3960.5516737879557,3988.956299705632,1495593,-0.003809590478874959,3965.9078194754466,4195.363458517048,3083.6085408942245
2024-08-14,4066.83251953125,4077.200393436632,3965.4279074613096,3985.1692159262047,3226545,0.020491803278688544,3984.8713030133927,4195.363458517048,3083.6085408942245
2024-08-16,4181.2080078125,4191.575880991633,4095.0949293450403,4118.670675923561,3457058,0.015183863146551653,4017.989676339286,4195.363458517048,3083.6085408942245
2024-08-19,4251.2255859375,4255.249574521071,4156.87498137627,4185.894947757169,2055210,0.015607328658674518,4057.1542619977677,4255.249574521071,3083.6085408942245
2024-08-20,4282.7548828125,4322.23750010525,4260.694140300903,4265.428244901237,2212298,0.004062109808546097,4104.59685407366,4322.23750010525,3083.6085408942245
2024-08-21,4309.45458984375,4317.502566118313,4253.6393224018875,4277.736095114591,1896990,0.007414785303231581,4148.251988002232,4322.23750010525,3083.6085408942245
2024-08-22,4262.5869140625,4318.402180859588,4258.042359497642,4317.502516242781,1829872,-0.012719298245614035,4189.688929966518,4322.23750010525,3083.6085408942245
2024-08-23,4226.51318359375,4266.374430859017,4218.086571122263,4260.693506184104,1809253,-0.008022243923610953,4225.796526227678,4322.23750010525,3083.6085408942245
2024-08-26,4263.01318359375,4310.069896517647,4246.490976918167,4250.278259840725,1844164,0.0029962564741590455,4253.822335379465,4322.23750010525,3083.6085408942245
2024-08-27,4257.99560546875,4270.162346746741,4248.1959164894,4265.428242149461,930697,-0.0017425300013874708,4264.7919921875,4322.23750010525,3083.6085408942245
2024-08-28,4266.42138671875,4319.869602119113,4220.263875901587,4259.509780281284,1848058,0.0016226295498749357,4266.962820870535,4322.23750010525,3083.6085408942245
2024-08-29,4271.86669921875,4313.716371329259,4222.821557534789,4222.821557534789,2133641,0.011614305983744471,4265.407366071428,4322.23750010525,3083.6085408942245
2024-08-30,4311.5859375,4348.038544383064,4249.1429103938235,4260.694311007412,3637222,0.011944444444444398,4265.711844308035,4348.038544383064,3083.6085408942245
2024-09-02,4280.62451171875,4344.014356887433,4272.055967366194,4332.652505910395,1216500,-0.012008346877731607,4268.288643973215,4348.038544383064,3083.6085408942245
2024-09-03,4272.38720703125,4313.6210706253505,4256.811818932973,4280.62427113772,1717263,-0.001924267019184246,4274.842075892857,4348.038544383064,3083.6085408942245
2024-09-04,4241.04736328125,4248.3852249914535,4200.760320366018,4238.869860215786,1265505,0.0005136989662979552,4271.7041015625,4348.038544383064,3083.6085408942245
2024-09-05,4237.9228515625,4259.746886626945,4217.281880213047,4242.704111797141,1688793,-0.001126936997879857,4268.836565290178,4348.038544383064,3083.6085408942245
